,ECR_RATIO,MVL SUM,MVL ABS,RMS,DB,ZCR,MFCC,FARBWECHSEL RATIO,SIFT RATIO,Tag,Zeit,LABEL
1,0.3184553660982949,-5.4691277,6.6635704,0.0201422162541581,-40.50956403433729,57,140.90550879827413,0.0058912536625572,0.7575757575757576,1,02:09,Programm
2,0.5100783874580067,58.168045,84.106766,0.0195623645741142,-33.33263960179791,58,157.04407083399838,0.0128112984498171,0.8695652173913043,1,02:09,Programm
3,0.4846867097499298,93.582726,122.97176,0.0267036957914975,-35.56488076873924,21,140.20663317914725,0.015742802999301,0.7751937984496124,1,02:09,Programm
4,0.5106712032168265,-38.132706,325.25452,0.0159916989654225,-33.3943732635008,56,163.32223428442276,0.0371577262261548,0.8264462809917356,1,02:09,Programm
5,0.5586979722518677,-9.752632,9.774361,0.0148625141148106,-35.92210788315945,49,146.29202531715583,0.0193592981712227,0.423728813559322,1,02:09,Programm
6,0.5618996798292423,-115.59818,116.2275,0.0082399975585192,-38.26753379627473,33,139.49005864656567,0.0399811545001637,0.5102040816326531,1,02:09,Programm
8,0.14295168762409,0.6856079,1.3994446,0.020935697500534,-40.97138121575178,44,135.89869300145418,0.0156797278115167,0.6711409395973155,1,02:10,Programm
9,0.2527503526093089,-5.6059465,26.202152,0.010681478316599,-33.58225130869894,88,157.36268716381016,0.0136648435029525,0.5524861878453039,1,02:10,Programm
10,0.6453488372093024,-84.59323,1155.9551,0.0381786553544724,-38.53209911094984,43,135.37187628936377,0.0398571920043135,0.5291005291005291,1,02:10,Programm
11,0.7413728432108027,956.1639,1665.3711,0.0189825128940702,-32.21442271726036,68,158.52367794694575,0.0381664973419644,0.5376344086021505,1,02:10,Programm
13,0.3795884315906563,81.527954,82.04639,0.0078737754448072,-39.353239515077526,51,139.29421113226869,0.0147773696294911,0.7936507936507936,1,02:10,Programm
14,0.666721044045677,-1698.6884,2582.73,0.0115359965819269,-32.19281601547661,292,160.80081630353405,0.0281094330697248,0.1501501501501501,1,02:10,Werbung
15,0.4201101056761374,-276.74167,278.9404,0.0187078463087862,-34.83300472321011,72,150.37951408549853,0.0278783763009919,0.1225490196078431,1,02:10,Werbung
